# Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Vertical acceleration (G),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Stability margin calibers (​)
11.43,2879.73,26.04,114.17,-1.04,1.04,1784.67,-58.31,27.93,-80.7,0.17,-0,-0.04,0.01,12.15,92.48,2.66
11.48,2880.99,24.37,113.59,-1.04,1.04,1790.22,-58.45,27.93,-80.7,0.29,-0,-0.04,0.02,11.4,92.48,2.65
11.53,2882.17,22.71,113.03,-1.03,1.04,1795.75,-58.6,27.93,-80.7,0.11,-0,-0.04,0,10.66,92.48,2.66
11.58,2883.26,21.06,112.5,-1.02,1.03,1801.28,-58.75,27.93,-80.7,0.06,-0,-0.02,-0.04,9.97,92.42,2.67
11.63,2884.28,19.41,111.99,-1.02,1.03,1806.8,-58.89,27.93,-80.7,0.11,-0,0.01,-0.04,9.28,92.42,2.66
11.68,2885.21,17.78,111.5,-1.01,1.02,1812.31,-59.04,27.93,-80.7,0.29,-0,0.02,-0.03,8.54,92.42,2.65
11.73,2886.06,16.15,111.03,-1.01,1.02,1817.81,-59.18,27.93,-80.7,0.29,-0,0.03,-0.03,7.85,92.48,2.65
11.78,2886.82,14.53,110.59,-1.01,1.02,1823.29,-59.32,27.93,-80.7,0.23,-0,0.03,-0.02,7.1,92.48,2.65
11.83,2887.51,12.91,110.17,-1,1.01,1828.77,-59.46,27.93,-80.7,0.29,-0,0.04,-0.02,6.36,92.53,2.65
11.88,2888.11,11.3,109.78,-1,1.01,1834.23,-59.6,27.93,-80.7,0.23,-0,0.04,-0.01,5.61,92.59,2.66
11.93,2888.64,9.68,109.41,-1,1.01,1839.68,-59.74,27.93,-80.7,0.17,-0,0.03,0.03,4.87,92.65,2.66
11.98,2889.08,8.07,109.07,-1,1.01,1845.12,-59.88,27.93,-80.7,0.23,-0,0.03,0.03,4.07,92.65,2.65
12.03,2889.45,6.46,108.75,-1,1.01,1850.55,-60.01,27.93,-80.7,0.23,-0,0.03,0.03,3.32,92.7,2.65
12.08,2889.73,4.85,108.45,-1,1.01,1855.98,-60.15,27.93,-80.7,0.23,-0,0.03,0.03,2.52,92.7,2.65
12.13,2889.93,3.24,108.19,-1,1.01,1861.39,-60.29,27.93,-80.7,0.4,-0,0.01,0.04,1.72,92.76,2.63
12.18,2890.05,1.64,107.95,-1,1,1866.79,-60.43,27.93,-80.7,0.46,-0,0.01,0.04,0.92,92.7,2.63
12.23,2890.1,0.04,107.74,-1,1,1872.18,-60.57,27.93,-80.7,0.23,-0,0.02,0.04,0.11,92.7,2.65
12.28,2890.06,-1.56,107.55,-0.95,3.71,1877.56,-60.71,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.31,2890,-2.4,104.39,-0.93,3.52,1880.47,-60.79,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.34,2889.92,-3.26,101.25,-0.9,3.34,1883.44,-60.86,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.37,2889.81,-4.15,98.13,-0.88,3.17,1886.48,-60.94,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.4,2889.66,-5.06,95.03,-0.86,2.99,1889.58,-61.01,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.43,2889.47,-6,91.95,-0.84,2.86,1892.76,-61.08,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.47,2889.24,-6.97,88.89,-0.82,2.69,1895.97,-61.15,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.51,2888.96,-7.96,85.86,-0.8,2.52,1899.27,-61.23,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.55,2888.61,-9,82.87,-0.78,2.45,1902.67,-61.3,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.59,2888.22,-10.04,79.9,-0.75,2.35,1906.03,-61.36,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.63,2887.76,-11.09,76.97,-0.74,2.15,1909.4,-61.42,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.68,2887.2,-12.22,74.1,-0.73,1.96,1912.94,-61.48,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.73,2886.54,-13.44,71.32,-0.72,1.79,1916.66,-61.54,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.79,2885.73,-14.76,68.64,-0.7,1.66,1920.57,-61.6,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.85,2884.78,-16.15,66.07,-0.68,1.59,1924.59,-61.65,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.91,2883.7,-17.55,63.57,-0.68,1.42,1928.61,-61.7,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
12.99,2882.38,-19.12,61.28,-0.66,1.33,1932.9,-61.74,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.06,2880.86,-20.73,59.12,-0.64,1.26,1937.24,-61.78,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.14,2879.11,-22.4,57.11,-0.61,1.21,1941.62,-61.81,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.23,2877.16,-24.06,55.23,-0.6,1.12,1945.92,-61.84,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.32,2874.88,-25.84,53.59,-0.57,1.11,1950.32,-61.86,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.41,2872.42,-27.53,52.03,-0.55,1.04,1954.53,-61.86,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.51,2869.64,-29.28,50.68,-0.54,0.98,1958.71,-61.85,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.61,2866.48,-31.09,49.6,-0.52,0.93,1962.9,-61.83,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.72,2862.97,-32.91,48.72,-0.5,0.87,1966.98,-61.79,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.84,2858.98,-34.82,48.15,-0.51,0.76,1971.06,-61.73,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
13.97,2854.2,-36.99,48.14,-0.46,0.75,1975.33,-61.64,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
14.11,2849.06,-39,48.13,-0.43,0.71,1979.32,-61.55,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
14.25,2843.28,-41.01,48.37,-0.39,0.69,1983.21,-61.42,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
14.4,2837.12,-42.85,48.6,-0.37,0.63,1986.77,-61.27,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
14.56,2830.08,-44.77,49.15,-0.34,0.59,1990.24,-61.08,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
14.73,2822.21,-46.66,49.88,-0.33,0.52,1993.49,-60.85,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
14.93,2812.84,-48.74,51.03,-0.3,0.45,1996.7,-60.55,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
15.16,2801.47,-50.97,52.54,-0.26,0.4,1999.85,-60.18,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
15.41,2788.13,-53.09,54.08,-0.2,0.38,2002.77,-59.76,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
15.69,2773.47,-54.81,55.33,-0.17,0.3,2005.14,-59.27,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
16.03,2754.32,-56.7,56.93,-0.11,0.28,2007.2,-58.62,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
16.39,2733.47,-58.03,58.09,-0.1,0.18,2008.36,-57.87,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
16.89,2704.07,-59.56,59.61,-0.05,0.13,2008.59,-56.79,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
17.39,2674.08,-60.38,60.49,-0.03,0.07,2007.72,-55.71,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
17.89,2643.77,-60.87,61.02,-0.01,0.07,2006.11,-54.64,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
18.39,2613.28,-61.09,61.31,-0.01,0.05,2003.98,-53.6,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
18.89,2582.71,-61.2,61.49,-0,0.04,2001.37,-52.55,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
19.39,2552.1,-61.25,61.59,0,0.08,1998.44,-51.51,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
19.89,2521.48,-61.21,61.71,0,0.06,1995.04,-50.4,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
20.39,2490.88,-61.21,61.84,-0,0.01,1991.06,-49.2,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
20.89,2460.27,-61.22,61.84,0,0.01,1986.85,-47.96,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
21.39,2429.66,-61.21,61.86,0,0.02,1982.61,-46.75,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
21.89,2399.06,-61.2,61.8,0,0.01,1978.39,-45.56,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
22.39,2368.47,-61.18,61.77,0,0.03,1974.27,-44.42,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
22.89,2337.88,-61.15,61.8,0,0.01,1970.08,-43.26,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
23.39,2307.32,-61.13,61.79,0,0,1965.74,-42.07,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
23.89,2276.76,-61.11,61.77,0,0.01,1961.4,-40.89,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
24.39,2246.21,-61.08,61.76,0,0.02,1957.03,-39.71,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
24.89,2215.68,-61.06,61.77,0,0.02,1952.56,-38.5,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
25.39,2185.15,-61.03,61.71,0,0.03,1948.1,-37.3,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
25.89,2154.65,-61,61.75,0,0.05,1943.59,-36.08,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
26.39,2124.15,-60.96,61.84,0.01,0.1,1938.76,-34.78,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
26.89,2093.7,-60.86,62.05,-0,0.03,1933.33,-33.32,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
27.39,2063.26,-60.88,61.98,-0,0.02,1927.61,-31.79,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
27.89,2032.82,-60.89,61.93,0,0.04,1922.08,-30.3,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
28.39,2002.38,-60.86,62.03,0,0.08,1916.46,-28.8,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
28.89,1971.97,-60.8,61.74,-0,0.02,1911,-27.33,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
29.39,1941.56,-60.81,61.8,0,0.04,1905.75,-25.92,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
29.89,1911.16,-60.79,61.68,0,0.03,1900.57,-24.53,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
30.39,1880.77,-60.77,61.59,0,0.02,1895.64,-23.21,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
30.89,1850.39,-60.76,61.53,0,0.05,1890.88,-21.93,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
31.39,1820.02,-60.72,61.63,0,0.02,1885.97,-20.61,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
31.89,1789.66,-60.71,61.58,0,0.01,1880.92,-19.26,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
32.39,1759.31,-60.69,61.6,0,0.08,1875.86,-17.9,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
32.89,1728.98,-60.62,61.35,0,0.04,1871.05,-16.61,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
33.39,1698.67,-60.61,61.24,0,0.02,1866.68,-15.44,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
33.89,1668.37,-60.61,61.18,0,0.05,1862.55,-14.33,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
34.39,1638.07,-60.57,61.27,0,0.01,1858.31,-13.19,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
34.89,1607.79,-60.56,61.28,0,0,1853.82,-11.99,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
35.39,1577.51,-60.55,61.27,0,0.04,1849.3,-10.78,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
35.89,1547.25,-60.52,61.33,0,0,1844.65,-9.53,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
36.39,1516.99,-60.5,61.31,0,0.01,1839.86,-8.24,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
36.89,1486.75,-60.48,61.26,0,0.03,1835.09,-6.97,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
37.39,1456.52,-60.45,61.32,0,0.04,1830.24,-5.66,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
37.89,1426.3,-60.41,61.41,0.01,0.1,1825.09,-4.28,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
38.39,1396.12,-60.32,61.62,0,0.06,1819.39,-2.75,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
38.89,1365.96,-60.31,61.81,-0,0.01,1813.08,-1.06,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
39.39,1335.8,-60.33,61.79,0,0.03,1806.59,0.68,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
39.89,1305.64,-60.31,61.66,0,0.03,1800.27,2.38,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
40.39,1275.49,-60.3,61.56,0,0.05,1794.17,4.01,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
40.89,1245.35,-60.26,61.38,0,0.07,1788.35,5.57,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
41.39,1215.23,-60.22,61.15,0,0.01,1782.97,7.01,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
41.89,1185.12,-60.22,61.11,0,0.01,1777.88,8.38,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
42.39,1155.02,-60.2,61.08,0,0.06,1772.88,9.72,27.93,-80.7,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
42.89,1124.93,-60.16,60.88,0,0.02,1768.13,10.99,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
43.39,1094.85,-60.15,60.81,0,0.05,1763.71,12.18,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
43.89,1064.79,-60.11,60.65,0,0,1759.58,13.29,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
44.39,1034.74,-60.1,60.66,0,0.05,1755.64,14.34,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
44.89,1004.69,-60.07,60.73,0,0.04,1751.5,15.46,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
45.39,974.67,-60.04,60.82,0,0.06,1746.97,16.67,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
45.89,944.66,-60.01,60.94,0,0.04,1742.06,17.99,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
46.39,914.66,-59.99,61.03,0,0.05,1736.78,19.4,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
46.89,884.67,-59.96,60.86,0,0.05,1731.56,20.8,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
47.39,854.69,-59.94,60.71,0,0.01,1726.73,22.1,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
47.89,824.72,-59.93,60.67,0,0.04,1722.13,23.33,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
48.39,794.76,-59.9,60.54,0,0.03,1717.74,24.51,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
48.89,764.81,-59.89,60.46,0,0.01,1713.63,25.61,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
49.39,734.88,-59.87,60.47,0,0.02,1709.58,26.7,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
49.89,704.94,-59.85,60.5,0,0,1705.4,27.82,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
50.39,675.02,-59.83,60.48,0,0.06,1701.14,28.96,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
50.89,645.12,-59.78,60.57,0,0.05,1696.65,30.17,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
51.39,615.24,-59.76,60.44,0,0.05,1692.11,31.39,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
51.89,585.36,-59.73,60.29,0,0.02,1687.95,32.5,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
52.39,555.5,-59.72,60.33,0,0.03,1683.9,33.59,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
52.89,525.65,-59.7,60.38,0,0.01,1679.65,34.73,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.39,495.8,-59.69,60.39,0,0.02,1675.25,35.91,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.39,495.74,-59.69,60.39,6.25,6.25,1675.24,35.91,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.41,494.79,-56.41,57.16,5.47,5.48,1675.09,35.95,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.43,493.77,-53.13,53.94,4.74,4.74,1674.92,36,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.45,492.66,-49.85,50.72,4.06,4.06,1674.73,36.05,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.48,491.45,-46.56,47.5,3.41,3.41,1674.5,36.11,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.51,490.11,-43.28,44.29,2.81,2.81,1674.23,36.18,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.54,488.6,-40,41.09,2.26,2.26,1673.9,36.27,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.59,486.87,-36.72,37.89,1.75,1.75,1673.5,36.38,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.65,484.82,-33.44,34.7,1.28,1.28,1672.97,36.52,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.73,482.28,-30.16,31.54,0.85,0.85,1672.26,36.71,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
53.85,478.87,-26.88,28.4,0.47,0.48,1671.2,36.99,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
54.06,473.53,-23.65,25.58,0.14,0.14,1669.27,37.51,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
54.38,466.13,-22.19,24.16,0.01,0.04,1666.26,38.32,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
54.72,458.51,-22.14,24.28,0,0.1,1663.02,39.19,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
55.07,450.89,-22.08,23.78,-0,0.03,1659.89,40.03,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
55.41,443.24,-22.14,23.94,0.02,0.19,1656.9,40.83,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
55.76,435.65,-21.96,23.06,-0.02,0.03,1654.21,41.55,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
56.11,427.99,-22.14,23.15,-0,0,1651.88,42.17,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
56.45,420.36,-22.14,23.15,0.01,0.13,1649.62,42.78,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
56.79,412.75,-22.05,23.52,-0.01,0.01,1647.13,43.44,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
57.14,405.11,-22.13,23.58,0.02,0.19,1644.41,44.18,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
57.48,397.53,-21.94,24.21,-0.01,0.06,1641.35,44.99,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
57.83,389.88,-22.11,24.07,0.01,0.16,1638.04,45.88,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
58.18,382.28,-21.99,24.71,-0.01,0.01,1634.58,46.81,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
58.52,374.64,-22.12,24.79,0,0.02,1630.82,47.82,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
58.87,367.02,-22.12,24.91,-0,0.01,1627.05,48.83,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
59.21,359.41,-22.12,24.88,0,0.01,1623.25,49.84,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
59.56,351.79,-22.12,24.81,0,0,1619.49,50.85,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
59.9,344.18,-22.11,24.83,0.02,0.19,1615.74,51.86,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
60.24,336.6,-21.93,25.67,-0.02,0.04,1611.65,52.95,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
60.59,328.96,-22.1,26,0.01,0.12,1607.12,54.17,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
60.94,321.37,-22.03,25.29,-0.01,0.02,1602.78,55.33,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
61.28,313.75,-22.1,25.22,-0,0,1598.68,56.43,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
61.62,306.15,-22.1,25.22,0,0.09,1594.64,57.51,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
61.97,298.55,-22.05,24.69,-0,0.04,1590.78,58.55,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
62.31,290.94,-22.09,24.55,0,0.05,1587.15,59.52,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
62.66,283.35,-22.08,24.8,-0,0.02,1583.49,60.5,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
63,275.75,-22.09,24.69,0.01,0.13,1579.78,61.49,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
63.35,268.17,-22.01,24.03,-0.01,0.05,1576.35,62.41,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
63.69,260.56,-22.07,24.33,0,0.1,1573.03,63.3,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
64.03,252.97,-22.03,23.86,-0,0.01,1569.81,64.16,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
64.38,245.37,-22.08,23.97,0,0.02,1566.74,64.99,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
64.72,237.78,-22.08,24.03,0,0.06,1563.62,65.82,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
65.07,230.19,-22.06,24.27,0.01,0.14,1560.37,66.69,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
65.41,222.62,-21.97,24.88,-0.01,0.07,1556.75,67.66,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
65.76,215.02,-22.05,24.6,0,0.1,1552.98,68.67,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
66.1,207.44,-22.02,24.12,-0,0.02,1549.53,69.6,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
66.44,199.85,-22.07,24.08,0,0.01,1546.3,70.47,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
66.79,192.27,-22.07,24.15,0,0.06,1543.07,71.33,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
67.13,184.69,-22.05,23.85,0.01,0.12,1539.94,72.17,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
67.47,177.12,-21.98,24.34,0,0.15,1536.69,73.04,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
67.82,169.55,-21.94,25.07,-0.01,0.02,1532.93,74.05,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
68.16,161.96,-22.06,25.25,0.01,0.14,1528.86,75.14,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
68.51,154.4,-21.95,25.97,-0.01,0.03,1524.52,76.3,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
68.85,146.81,-22.05,25.88,0,0.07,1519.95,77.52,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
69.2,139.24,-22.03,25.5,0.01,0.19,1515.58,78.7,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
69.54,131.7,-21.87,24.37,-0.01,0.07,1511.66,79.74,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
69.89,124.1,-22.03,24.19,0,0.1,1508.19,80.68,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
70.23,116.54,-21.99,23.72,0.03,0.27,1505.06,81.52,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
70.57,109.03,-21.67,22.45,-0.03,0.13,1502.6,82.17,27.93,-80.71,NaN,NaN,NaN,NaN,-0.69,92.65,-8.62
